customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
180,Customer 180,customer180@example.com,UK,2018-10-08,Basic,5676.58
181,Customer 181,customer181@example.com,IN,2019-11-04,Standard,3576.76
182,Customer 182,customer182@example.com,UK,2019-09-13,Standard,6199.15
183,Customer 183,customer183@example.com,FR,2020-06-08,Premium,8976.27
184,Customer 184,customer184@example.com,UK,2019-05-20,Basic,7327.09
185,Customer 185,customer185@example.com,DE,2022-10-25,Standard,7931.66
186,Customer 186,customer186@example.com,UK,2021-02-08,Basic,934.06
187,Customer 187,customer187@example.com,IN,2024-09-27,Basic,7239.68
188,Customer 188,customer188@example.com,DE,2018-04-20,Basic,8770.69
189,Customer 189,customer189@example.com,UK,2023-10-22,Basic,5144.27
190,Customer 190,customer190@example.com,CA,2022-05-24,Standard,6497.08
191,Customer 191,customer191@example.com,AU,2020-09-07,Standard,3920.27
192,Customer 192,customer192@example.com,UK,2023-08-09,Basic,5979.90
193,Customer 193,customer193@example.com,IN,2018-02-19,Standard,9345.85
194,Customer 194,customer194@example.com,UK,2022-05-04,Basic,4266.55
195,Customer 195,customer195@example.com,IN,2019-12-09,Standard,9549.08
196,Customer 196,customer196@example.com,AU,2018-10-26,Premium,5914.90
197,Customer 197,customer197@example.com,US,2020-12-09,Premium,494.29
198,Customer 198,customer198@example.com,US,2022-06-19,Basic,2936.23
199,Customer 199,customer199@example.com,CA,2023-08-15,Standard,4293.39
200,Customer 200,customer200@example.com,FR,2018-12-04,Basic,5411.99
201,Customer 201,customer201@example.com,IN,2019-09-18,Standard,927.61
202,Customer 202,customer202@example.com,US,2023-09-26,Premium,9745.70
203,Customer 203,customer203@example.com,UK,2024-01-07,Standard,3968.24
204,Customer 204,customer204@example.com,CA,2018-09-28,Standard,7016.89
205,Customer 205,customer205@example.com,CA,2020-09-04,Premium,2520.35
206,Customer 206,customer206@example.com,FR,2019-04-21,Standard,6161.74
207,Customer 207,customer207@example.com,US,2021-06-20,Basic,7442.77
208,Customer 208,customer208@example.com,CA,2019-12-21,Premium,225.38
209,Customer 209,customer209@example.com,UK,2018-02-16,Premium,5014.49
210,Customer 210,customer210@example.com,DE,2023-11-13,Basic,7851.57
211,Customer 211,customer211@example.com,CA,2020-11-27,Premium,3781.51
212,Customer 212,customer212@example.com,CA,2021-01-05,Basic,8875.51
213,Customer 213,customer213@example.com,AU,2018-05-01,Standard,8090.37
214,Customer 214,customer214@example.com,DE,2023-11-16,Premium,2703.20
215,Customer 215,customer215@example.com,IN,2018-11-12,Standard,4606.46
216,Customer 216,customer216@example.com,DE,2018-08-16,Standard,8607.66
217,Customer 217,customer217@example.com,UK,2022-02-15,Premium,2625.65
218,Customer 218,customer218@example.com,US,2024-06-08,Basic,7255.51
219,Customer 219,customer219@example.com,UK,2023-09-16,Premium,535.98
220,Customer 220,customer220@example.com,AU,2018-02-20,Premium,555.22
221,Customer 221,customer221@example.com,DE,2022-04-18,Premium,1871.71
222,Customer 222,customer222@example.com,AU,2018-05-25,Basic,8050.84
223,Customer 223,customer223@example.com,CA,2022-09-14,Premium,3285.84
224,Customer 224,customer224@example.com,FR,2021-08-03,Standard,8277.37
225,Customer 225,customer225@example.com,IN,2022-03-08,Premium,5070.21
226,Customer 226,customer226@example.com,US,2020-01-05,Premium,8062.95
227,Customer 227,customer227@example.com,US,2022-07-01,Premium,8782.21
228,Customer 228,customer228@example.com,AU,2021-03-02,Standard,3340.28
229,Customer 229,customer229@example.com,IN,2023-02-14,Premium,3752.30
230,Customer 230,customer230@example.com,DE,2024-04-28,Standard,7421.80
231,Customer 231,customer231@example.com,UK,2023-03-16,Standard,5957.74
232,Customer 232,customer232@example.com,FR,2020-03-11,Basic,9014.39
233,Customer 233,customer233@example.com,AU,2020-10-01,Premium,163.14
234,Customer 234,customer234@example.com,FR,2018-04-08,Premium,5461.30
235,Customer 235,customer235@example.com,CA,2018-02-09,Standard,114.47
236,Customer 236,customer236@example.com,CA,2022-03-22,Basic,7299.43
237,Customer 237,customer237@example.com,US,2020-04-20,Basic,9832.85
238,Customer 238,customer238@example.com,FR,2023-07-09,Premium,9728.34
239,Customer 239,customer239@example.com,UK,2021-02-20,Premium,534.61
240,Customer 240,customer240@example.com,UK,2023-10-30,Standard,7038.38
241,Customer 241,customer241@example.com,DE,2023-02-21,Basic,940.53
242,Customer 242,customer242@example.com,US,2023-09-02,Premium,6408.44
243,Customer 243,customer243@example.com,FR,2018-11-03,Basic,5721.43
244,Customer 244,customer244@example.com,FR,2019-06-20,Premium,2987.59
245,Customer 245,customer245@example.com,AU,2021-07-14,Standard,7037.18
246,Customer 246,customer246@example.com,CA,2021-08-29,Standard,4582.30
247,Customer 247,customer247@example.com,UK,2018-11-02,Premium,1447.51
248,Customer 248,customer248@example.com,AU,2024-07-22,Premium,1638.56
249,Customer 249,customer249@example.com,UK,2023-01-16,Standard,3208.93
250,Customer 250,customer250@example.com,US,2024-01-05,Standard,9649.88
251,Customer 251,customer251@example.com,UK,2023-01-26,Standard,4687.13
252,Customer 252,customer252@example.com,AU,2019-05-07,Premium,1660.39
253,Customer 253,customer253@example.com,CA,2021-05-31,Basic,6999.09
254,Customer 254,customer254@example.com,US,2020-05-30,Standard,1568.41
255,Customer 255,customer255@example.com,CA,2020-10-13,Standard,4022.82
256,Customer 256,customer256@example.com,US,2021-05-09,Standard,8218.89
257,Customer 257,customer257@example.com,UK,2018-05-08,Standard,8560.55
258,Customer 258,customer258@example.com,IN,2024-03-03,Premium,1037.78
259,Customer 259,customer259@example.com,US,2019-07-27,Premium,218.37
260,Customer 260,customer260@example.com,AU,2020-06-29,Premium,2061.52
261,Customer 261,customer261@example.com,FR,2022-03-05,Basic,6339.95
262,Customer 262,customer262@example.com,CA,2018-12-11,Basic,5902.58
263,Customer 263,customer263@example.com,AU,2018-11-04,Premium,9971.90
264,Customer 264,customer264@example.com,UK,2022-12-22,Premium,1010.59
265,Customer 265,customer265@example.com,AU,2021-09-20,Premium,522.69
266,Customer 266,customer266@example.com,FR,2018-07-27,Premium,9248.90
267,Customer 267,customer267@example.com,FR,2022-06-06,Standard,391.87
268,Customer 268,customer268@example.com,CA,2022-10-14,Premium,3604.04
269,Customer 269,customer269@example.com,UK,2021-01-31,Standard,4515.51
270,Customer 270,customer270@example.com,UK,2018-05-22,Basic,6229.85
271,Customer 271,customer271@example.com,UK,2021-04-23,Standard,4178.72
272,Customer 272,customer272@example.com,IN,2023-05-17,Premium,968.44
273,Customer 273,customer273@example.com,FR,2019-07-17,Standard,2074.63
274,Customer 274,customer274@example.com,AU,2023-11-24,Premium,6344.47
275,Customer 275,customer275@example.com,AU,2024-02-05,Premium,9895.10
276,Customer 276,customer276@example.com,AU,2022-01-10,Standard,5490.73
277,Customer 277,customer277@example.com,FR,2021-11-10,Basic,5073.69
278,Customer 278,customer278@example.com,FR,2021-01-12,Premium,358.02
279,Customer 279,customer279@example.com,IN,2020-06-16,Premium,8968.07
280,Customer 280,customer280@example.com,AU,2021-02-24,Premium,8105.67
281,Customer 281,customer281@example.com,FR,2023-12-09,Standard,7691.74
282,Customer 282,customer282@example.com,UK,2019-10-16,Premium,2553.78
283,Customer 283,customer283@example.com,UK,2020-12-27,Basic,8181.22
284,Customer 284,customer284@example.com,CA,2018-08-18,Premium,5799.35
285,Customer 285,customer285@example.com,AU,2022-05-10,Standard,9358.54
286,Customer 286,customer286@example.com,AU,2019-12-13,Premium,2441.86
287,Customer 287,customer287@example.com,DE,2022-01-09,Basic,379.25
288,Customer 288,customer288@example.com,CA,2021-12-11,Basic,5679.70
289,Customer 289,customer289@example.com,IN,2020-02-11,Standard,5467.03
290,Customer 290,customer290@example.com,UK,2023-07-02,Premium,993.55
291,Customer 291,customer291@example.com,UK,2024-09-30,Premium,297.29
292,Customer 292,customer292@example.com,FR,2018-01-03,Standard,9187.17
293,Customer 293,customer293@example.com,UK,2019-06-19,Standard,7197.68
294,Customer 294,customer294@example.com,AU,2021-08-18,Premium,316.94
295,Customer 295,customer295@example.com,IN,2019-08-04,Premium,8480.16
296,Customer 296,customer296@example.com,AU,2022-02-03,Premium,3798.55
297,Customer 297,customer297@example.com,CA,2022-06-09,Basic,1100.22
298,Customer 298,customer298@example.com,DE,2021-08-14,Premium,9761.02
299,Customer 299,customer299@example.com,CA,2022-11-25,Basic,9610.55
300,Customer 300,customer300@example.com,CA,2021-07-23,Premium,7101.11
301,Customer 301,customer301@example.com,IN,2024-11-18,Standard,2310.05
302,Customer 302,customer302@example.com,IN,2019-12-20,Standard,3137.55
303,Customer 303,customer303@example.com,CA,2021-04-21,Premium,1859.31
304,Customer 304,customer304@example.com,US,2024-06-04,Standard,8522.49
305,Customer 305,customer305@example.com,AU,2024-05-13,Premium,1902.61
306,Customer 306,customer306@example.com,DE,2024-11-09,Premium,6432.50
307,Customer 307,customer307@example.com,US,2023-07-26,Premium,3378.57
308,Customer 308,customer308@example.com,US,2020-09-01,Standard,9825.56
309,Customer 309,customer309@example.com,UK,2018-12-30,Basic,6733.24
310,Customer 310,customer310@example.com,CA,2021-10-07,Standard,212.82
311,Customer 311,customer311@example.com,UK,2020-10-19,Basic,771.17
312,Customer 312,customer312@example.com,DE,2019-03-19,Basic,112.68
313,Customer 313,customer313@example.com,FR,2022-11-30,Basic,4254.57
314,Customer 314,customer314@example.com,UK,2022-08-23,Standard,8829.53
315,Customer 315,customer315@example.com,DE,2024-02-15,Standard,1104.14
316,Customer 316,customer316@example.com,FR,2024-06-25,Basic,7606.61
317,Customer 317,customer317@example.com,UK,2019-10-29,Standard,829.72
318,Customer 318,customer318@example.com,AU,2018-05-17,Standard,298.77
319,Customer 319,customer319@example.com,DE,2019-03-05,Premium,3483.90
320,Customer 320,customer320@example.com,FR,2019-10-22,Basic,842.52
321,Customer 321,customer321@example.com,US,2021-10-16,Basic,9854.23
322,Customer 322,customer322@example.com,FR,2018-05-07,Standard,9430.18
323,Customer 323,customer323@example.com,UK,2024-10-23,Standard,1655.33
324,Customer 324,customer324@example.com,US,2021-09-18,Premium,9746.54
325,Customer 325,customer325@example.com,FR,2024-03-19,Basic,9263.18
326,Customer 326,customer326@example.com,IN,2020-12-22,Basic,2887.08
327,Customer 327,customer327@example.com,UK,2019-01-28,Premium,3989.73
328,Customer 328,customer328@example.com,IN,2023-07-04,Premium,639.60
329,Customer 329,customer329@example.com,US,2022-10-18,Premium,3016.04
330,Customer 330,customer330@example.com,CA,2024-09-24,Standard,2076.78
331,Customer 331,customer331@example.com,US,2020-04-27,Premium,6418.09
332,Customer 332,customer332@example.com,US,2023-04-24,Premium,3152.70
333,Customer 333,customer333@example.com,FR,2023-04-13,Standard,8959.29
334,Customer 334,customer334@example.com,DE,2019-01-09,Basic,5486.85
335,Customer 335,customer335@example.com,UK,2022-02-28,Standard,3757.08
336,Customer 336,customer336@example.com,FR,2018-07-02,Standard,4453.43
337,Customer 337,customer337@example.com,DE,2020-07-15,Standard,5686.04
338,Customer 338,customer338@example.com,UK,2019-02-01,Premium,6714.60
339,Customer 339,customer339@example.com,AU,2024-01-27,Standard,9709.98
340,Customer 340,customer340@example.com,IN,2020-07-20,Basic,703.74
341,Customer 341,customer341@example.com,FR,2023-11-11,Standard,9659.71
342,Customer 342,customer342@example.com,CA,2023-04-29,Basic,8828.37
343,Customer 343,customer343@example.com,FR,2021-05-09,Premium,4008.56
344,Customer 344,customer344@example.com,AU,2018-05-23,Basic,5755.08
345,Customer 345,customer345@example.com,IN,2024-05-29,Basic,9829.27
346,Customer 346,customer346@example.com,UK,2019-05-08,Standard,1811.50
347,Customer 347,customer347@example.com,UK,2020-05-17,Premium,1349.24
348,Customer 348,customer348@example.com,FR,2018-11-17,Basic,4410.39
349,Customer 349,customer349@example.com,AU,2019-08-29,Basic,2653.07
350,Customer 350,customer350@example.com,CA,2018-10-02,Premium,3942.18
351,Customer 351,customer351@example.com,FR,2024-03-11,Standard,8580.58
352,Customer 352,customer352@example.com,IN,2023-02-20,Premium,7886.85
353,Customer 353,customer353@example.com,IN,2024-08-03,Basic,7838.69
354,Customer 354,,US,2022-08-25,Premium,1567.18
355,Customer 355,customer355@example.com,IN,2024-07-14,Premium,9256.79
356,Customer 356,customer356@example.com,IN,2019-02-18,Standard,8688.01
357,Customer 357,customer357@example.com,DE,2022-08-11,Standard,3892.13
358,Customer 358,customer358@example.com,FR,2024-06-01,Basic,4783.16
359,Customer 359,customer359@example.com,UK,2021-02-02,Standard,1524.14
360,Customer 360,customer360@example.com,IN,2022-07-04,Premium,4018.35
361,Customer 361,customer361@example.com,DE,2020-08-31,Premium,7482.92
362,Customer 362,customer362@example.com,DE,2022-03-06,Premium,3444.87
363,Customer 363,customer363@example.com,AU,2021-05-26,Standard,2875.43
364,Customer 364,customer364@example.com,FR,2019-02-07,Premium,1430.42
365,Customer 365,customer365@example.com,CA,2022-12-20,Standard,2767.26
366,Customer 366,,FR,2024-10-13,Basic,983.94
367,Customer 367,customer367@example.com,FR,2020-05-15,Standard,7435.35
368,Customer 368,customer368@example.com,AU,2023-10-17,Standard,8228.07
369,Customer 369,customer369@example.com,IN,2019-10-14,Premium,3180.12
370,Customer 370,customer370@example.com,IN,2022-07-11,Premium,7827.11
371,Customer 371,customer371@example.com,IN,2024-05-18,Premium,1820.00
372,Customer 372,customer372@example.com,AU,2020-04-02,Premium,2569.95
373,Customer 373,customer373@example.com,FR,2018-07-27,Standard,7075.88
374,Customer 374,customer374@example.com,DE,2022-02-17,Standard,5100.75
375,Customer 375,customer375@example.com,CA,2019-05-23,Basic,402.58
376,Customer 376,customer376@example.com,DE,2023-06-26,Basic,4516.42
377,Customer 377,customer377@example.com,AU,2023-04-28,Basic,5558.20
378,Customer 378,customer378@example.com,DE,2019-11-01,Standard,7514.72
379,Customer 379,customer379@example.com,CA,2019-01-06,Standard,371.76
380,Customer 380,customer380@example.com,US,2019-10-30,Basic,7820.32
381,Customer 381,customer381@example.com,UK,2020-06-25,Basic,2328.61
382,Customer 382,customer382@example.com,UK,2021-01-07,Basic,4154.12
383,Customer 383,customer383@example.com,US,2018-02-06,Standard,9124.00
384,Customer 384,customer384@example.com,CA,2019-12-11,Basic,8028.56
385,Customer 385,customer385@example.com,UK,2020-10-30,Basic,8070.35
386,Customer 386,customer386@example.com,DE,2021-02-01,Standard,8965.28
387,Customer 387,customer387@example.com,AU,2021-11-29,Standard,2594.79
388,Customer 388,customer388@example.com,FR,2021-05-22,Basic,5254.32
389,Customer 389,customer389@example.com,IN,2022-06-15,Basic,1112.89
390,Customer 390,customer390@example.com,IN,2022-03-13,Basic,6508.69
391,Customer 391,customer391@example.com,IN,2021-03-03,Standard,6875.69
392,Customer 392,customer392@example.com,FR,2018-09-19,Standard,9884.77
393,Customer 393,customer393@example.com,CA,2021-08-24,Standard,2685.35
394,Customer 394,customer394@example.com,CA,2021-05-08,Premium,1584.30
395,Customer 395,customer395@example.com,AU,2020-09-11,Premium,8073.76
396,Customer 396,customer396@example.com,AU,2024-09-23,Standard,6639.25
397,Customer 397,customer397@example.com,CA,2019-07-28,Basic,352.01
398,Customer 398,customer398@example.com,FR,2021-04-25,Standard,9078.42
399,Customer 399,customer399@example.com,FR,2022-05-10,Basic,449.66
400,Customer 400,customer400@example.com,CA,2024-06-01,Premium,3497.35
401,Customer 401,customer401@example.com,CA,2020-06-29,Basic,5392.89
